Actual_Calories,Predicted_Calories
193.0,194.23
33.0,32.71
26.0,26.2
210.0,214.87
60.0,59.86
67.0,63.9
11.0,11.46
170.0,169.68
177.0,177.9
69.0,67.67
65.0,65.88
96.0,95.53
109.0,113.82
52.0,52.67
7.0,6.92
139.0,136.4
82.0,84.56
146.0,146.66
128.0,126.51
124.0,126.19
203.0,199.96
232.0,234.46
12.0,12.16
134.0,129.02
28.0,29.6
149.0,149.97
182.0,182.47
55.0,54.49
70.0,66.21
4.0,4.21
97.0,97.9
229.0,226.41
59.0,60.44
225.0,222.74
217.0,212.28
154.0,156.62
140.0,144.38
8.0,7.39
74.0,72.26
102.0,112.21
95.0,95.41
116.0,110.56
51.0,47.66
75.0,80.82
209.0,197.55
66.0,66.77
65.0,63.67
116.0,114.32
98.0,99.91
47.0,47.32
117.0,118.14
19.0,20.24
112.0,112.89
116.0,117.33
196.0,200.44
20.0,19.17
10.0,12.18
87.0,85.9
93.0,94.3
146.0,147.25
177.0,172.46
150.0,148.98
62.0,62.8
122.0,128.87
120.0,123.24
55.0,57.29
120.0,119.28
16.0,15.27
135.0,133.93
160.0,158.92
143.0,142.97
111.0,107.02
80.0,82.81
36.0,35.95
171.0,165.79
193.0,194.99
28.0,30.52
45.0,44.11
85.0,87.53
265.0,246.24
63.0,73.24
182.0,182.53
84.0,82.9
4.0,3.73
185.0,184.55
142.0,143.36
39.0,39.46
158.0,158.09
16.0,17.55
2.0,2.19
74.0,73.11
193.0,186.45
125.0,124.53
98.0,97.95
31.0,31.36
10.0,9.99
252.0,238.75
195.0,196.76
8.0,8.17
36.0,39.33
157.0,154.77
51.0,53.59
104.0,101.92
115.0,113.68
80.0,82.8
125.0,122.98
136.0,134.7
200.0,239.25
37.0,37.29
75.0,72.2
153.0,151.64
48.0,45.33
104.0,103.09
113.0,111.26
201.0,197.51
156.0,156.69
26.0,25.82
36.0,40.45
12.0,13.52
92.0,91.4
63.0,63.36
89.0,94.73
12.0,11.59
89.0,92.5
4.0,4.86
121.0,119.27
8.0,7.7
138.0,137.47
159.0,173.05
60.0,54.51
8.0,7.23
23.0,22.88
174.0,173.08
11.0,10.97
76.0,74.75
83.0,82.98
38.0,37.83
62.0,60.34
91.0,88.06
119.0,131.06
142.0,140.65
5.0,7.25
3.0,3.31
67.0,67.78
43.0,41.37
71.0,67.14
7.0,6.62
84.0,84.98
21.0,18.04
37.0,33.79
22.0,21.29
44.0,44.99
135.0,128.23
71.0,73.2
32.0,29.92
114.0,112.87
84.0,84.09
110.0,115.73
17.0,14.66
192.0,192.99
8.0,7.59
117.0,117.53
36.0,37.19
26.0,27.03
17.0,22.59
39.0,39.17
42.0,42.26
26.0,26.45
66.0,65.94
9.0,8.5
150.0,147.53
161.0,160.08
63.0,61.92
175.0,172.78
200.0,199.22
81.0,82.35
152.0,141.93
214.0,206.98
169.0,165.71
79.0,81.5
264.0,255.17
3.0,3.39
57.0,56.92
111.0,113.78
144.0,140.77
211.0,203.01
77.0,76.75
47.0,47.65
36.0,40.17
2.0,4.57
76.0,75.48
115.0,117.32
13.0,13.34
28.0,28.81
23.0,22.93
20.0,20.76
38.0,36.6
192.0,188.1
53.0,51.79
59.0,55.55
264.0,228.94
3.0,3.07
47.0,46.9
52.0,51.56
103.0,102.54
30.0,28.6
23.0,22.68
78.0,75.39
98.0,97.51
27.0,27.53
249.0,251.36
2.0,2.44
70.0,63.07
67.0,65.35
75.0,71.96
54.0,53.86
92.0,95.65
27.0,27.46
25.0,25.09
18.0,18.75
18.0,18.56
177.0,179.26
259.0,254.2
105.0,109.43
201.0,199.12
107.0,112.97
32.0,31.24
193.0,195.55
121.0,124.87
103.0,107.85
252.0,250.87
70.0,65.3
80.0,79.44
100.0,97.99
141.0,137.07
26.0,25.14
63.0,64.05
188.0,190.45
40.0,43.91
32.0,32.23
135.0,148.41
88.0,91.42
109.0,107.92
139.0,138.32
103.0,104.93
30.0,31.64
112.0,106.84
268.0,259.51
181.0,181.93
156.0,150.77
36.0,36.17
27.0,27.15
20.0,21.87
61.0,61.21
80.0,79.19
40.0,40.2
117.0,117.28
204.0,200.8
11.0,10.96
157.0,157.85
95.0,94.97
81.0,78.19
111.0,108.42
11.0,8.95
49.0,44.25
52.0,60.45
158.0,164.49
101.0,97.27
54.0,49.62
4.0,4.59
26.0,27.32
11.0,11.27
30.0,31.05
127.0,126.71
109.0,109.78
70.0,68.23
192.0,183.66
4.0,4.01
156.0,155.88
6.0,9.87
25.0,25.71
47.0,46.59
34.0,34.06
7.0,5.92
13.0,12.9
98.0,97.46
7.0,7.82
158.0,154.23
96.0,106.48
17.0,17.82
58.0,61.82
156.0,154.54
86.0,89.27
18.0,17.68
204.0,199.12
186.0,187.27
29.0,31.27
112.0,112.39
10.0,10.36
112.0,119.63
20.0,21.47
158.0,166.59
207.0,206.1
72.0,70.63
247.0,247.32
35.0,37.31
74.0,69.48
113.0,113.04
98.0,97.35
60.0,59.49
106.0,109.56
31.0,31.77
244.0,242.51
28.0,29.85
230.0,232.05
140.0,139.25
25.0,25.39
13.0,13.09
178.0,178.02
91.0,86.73
89.0,89.05
174.0,168.67
35.0,35.62
118.0,114.87
61.0,59.52
49.0,44.08
11.0,12.86
85.0,83.15
47.0,47.82
6.0,6.75
93.0,91.47
188.0,193.27
50.0,50.35
94.0,88.91
157.0,151.01
56.0,49.59
20.0,18.24
145.0,140.65
41.0,39.18
161.0,158.7
29.0,24.2
108.0,109.18
22.0,22.88
79.0,77.48
72.0,72.97
17.0,19.36
158.0,158.85
17.0,21.52
130.0,127.83
10.0,9.22
5.0,5.53
18.0,15.74
164.0,162.92
99.0,97.33
17.0,15.65
29.0,26.17
85.0,82.29
4.0,4.54
59.0,59.86
72.0,72.21
151.0,153.29
9.0,12.89
147.0,143.57
135.0,139.2
47.0,55.23
126.0,126.61
110.0,104.94
14.0,17.3
149.0,143.93
39.0,32.75
30.0,28.8
22.0,23.01
34.0,33.57
174.0,181.92
107.0,105.59
142.0,140.58
87.0,85.96
65.0,63.21
69.0,68.21
186.0,187.43
27.0,27.02
135.0,134.69
191.0,190.37
100.0,94.09
101.0,100.61
158.0,149.53
10.0,11.16
22.0,21.71
125.0,125.38
52.0,56.87
18.0,17.24
94.0,93.02
78.0,75.55
155.0,151.48
10.0,9.95
287.0,264.81
11.0,11.05
81.0,81.74
41.0,40.79
34.0,34.25
185.0,190.2
16.0,16.63
95.0,97.43
39.0,40.46
10.0,9.6
162.0,159.64
82.0,88.79
52.0,51.74
189.0,185.76
145.0,148.37
142.0,139.33
153.0,153.6
171.0,168.65
180.0,178.7
210.0,207.41
102.0,100.89
147.0,148.62
134.0,135.18
52.0,53.92
144.0,144.29
108.0,108.78
26.0,25.47
154.0,156.07
23.0,22.05
116.0,114.66
25.0,21.29
14.0,14.7
22.0,21.47
45.0,45.46
15.0,17.19
165.0,169.61
80.0,81.69
94.0,92.56
101.0,112.14
43.0,39.9
175.0,173.88
74.0,75.15
87.0,89.87
69.0,70.32
165.0,160.54
99.0,97.71
102.0,102.11
55.0,49.58
133.0,128.52
166.0,164.94
42.0,44.13
35.0,33.67
206.0,199.22
31.0,30.8
89.0,87.12
183.0,180.7
55.0,53.23
112.0,114.47
117.0,114.93
70.0,70.37
139.0,138.16
54.0,56.06
171.0,169.19
154.0,150.83
13.0,13.05
9.0,8.68
241.0,242.61
156.0,169.44
193.0,192.97
216.0,210.94
101.0,101.04
81.0,90.42
89.0,94.37
38.0,34.73
5.0,3.22
138.0,137.58
184.0,187.69
64.0,80.0
53.0,55.84
17.0,18.36
217.0,212.73
53.0,51.21
117.0,118.94
23.0,23.41
48.0,47.76
87.0,87.16
51.0,50.12
159.0,165.84
110.0,109.96
99.0,103.66
182.0,175.13
35.0,34.64
22.0,19.22
105.0,107.19
31.0,30.39
64.0,65.58
9.0,9.83
89.0,96.77
32.0,27.43
67.0,67.19
212.0,216.38
83.0,82.38
69.0,68.22
48.0,49.04
142.0,141.88
9.0,9.12
63.0,64.79
127.0,130.9
148.0,144.51
123.0,121.71
24.0,26.39
152.0,153.41
128.0,124.93
165.0,171.68
142.0,141.23
29.0,27.28
12.0,13.53
23.0,23.1
106.0,103.86
181.0,180.52
67.0,65.57
140.0,143.29
40.0,34.69
112.0,110.25
164.0,159.37
70.0,69.92
120.0,112.03
18.0,15.97
21.0,20.32
36.0,36.01
125.0,120.23
153.0,151.53
195.0,199.74
54.0,51.53
157.0,157.08
28.0,28.66
164.0,160.42
52.0,54.67
121.0,123.55
10.0,21.9
53.0,61.84
4.0,3.73
21.0,19.84
62.0,60.98
165.0,165.95
174.0,171.98
21.0,23.47
47.0,49.6
211.0,219.92
123.0,123.26
92.0,106.16
53.0,55.69
67.0,65.61
146.0,146.85
85.0,80.57
81.0,81.25
159.0,158.7
11.0,10.26
197.0,196.75
100.0,96.64
57.0,62.36
113.0,115.92
166.0,164.85
155.0,154.37
87.0,90.99
80.0,88.15
219.0,217.49
187.0,189.94
181.0,181.96
61.0,70.31
71.0,70.74
154.0,150.74
59.0,59.93
199.0,194.46
13.0,12.35
150.0,151.69
28.0,28.35
39.0,40.25
118.0,121.22
112.0,110.1
41.0,40.82
43.0,45.14
135.0,140.24
76.0,72.61
134.0,133.56
36.0,36.58
5.0,9.23
28.0,28.78
80.0,85.19
86.0,87.88
56.0,68.43
151.0,148.92
116.0,115.78
156.0,164.85
49.0,46.88
133.0,128.87
41.0,40.6
65.0,63.77
57.0,55.88
14.0,12.6
45.0,44.16
57.0,55.78
178.0,179.08
217.0,214.59
19.0,20.17
176.0,178.76
110.0,112.43
82.0,88.47
32.0,42.33
82.0,88.49
60.0,57.83
7.0,7.21
4.0,3.98
65.0,69.56
142.0,134.1
17.0,16.66
155.0,156.89
51.0,51.54
2.0,3.93
43.0,41.24
22.0,22.22
43.0,42.61
67.0,70.16
13.0,10.36
13.0,13.12
39.0,39.16
12.0,15.4
27.0,26.94
21.0,20.21
73.0,74.08
95.0,95.95
25.0,26.84
91.0,94.25
53.0,52.2
167.0,167.24
84.0,80.93
24.0,23.48
104.0,107.19
106.0,100.94
15.0,16.69
114.0,109.59
167.0,163.89
77.0,80.98
62.0,64.3
169.0,167.98
81.0,80.27
75.0,72.6
132.0,132.05
86.0,84.98
42.0,38.84
46.0,46.37
180.0,179.76
42.0,44.22
181.0,179.95
65.0,65.46
78.0,71.89
45.0,43.72
26.0,25.38
203.0,209.74
95.0,92.47
72.0,73.14
67.0,66.56
94.0,94.3
42.0,40.96
4.0,3.91
167.0,174.87
61.0,63.01
65.0,65.66
44.0,46.66
96.0,94.76
160.0,159.32
85.0,92.81
236.0,230.09
113.0,112.58
76.0,74.97
138.0,137.41
88.0,86.17
42.0,40.44
198.0,198.89
31.0,30.15
81.0,80.43
6.0,5.71
130.0,134.48
35.0,36.16
123.0,125.39
212.0,214.92
14.0,14.74
242.0,226.97
96.0,96.1
51.0,47.97
171.0,173.37
75.0,75.01
17.0,17.85
114.0,115.79
91.0,90.58
17.0,16.69
13.0,11.97
159.0,153.93
192.0,186.59
18.0,18.5
105.0,101.99
223.0,220.95
53.0,55.84
103.0,99.33
130.0,128.77
38.0,37.62
56.0,55.18
57.0,59.37
105.0,105.01
152.0,149.26
55.0,55.6
69.0,68.09
103.0,102.98
223.0,225.23
18.0,17.77
29.0,26.8
87.0,91.76
112.0,110.29
53.0,52.71
56.0,60.06
32.0,30.53
91.0,88.18
187.0,187.03
149.0,143.84
83.0,78.77
56.0,56.54
68.0,63.9
71.0,76.08
13.0,12.91
12.0,11.92
158.0,158.79
141.0,144.46
18.0,14.39
77.0,73.81
74.0,73.03
108.0,108.25
81.0,82.45
126.0,134.67
66.0,66.84
52.0,54.43
187.0,184.47
80.0,83.32
35.0,32.58
97.0,103.35
25.0,25.92
152.0,153.29
78.0,79.24
21.0,21.09
7.0,12.31
71.0,71.75
129.0,133.71
14.0,14.43
10.0,10.57
19.0,17.68
78.0,77.87
99.0,100.03
168.0,166.76
20.0,20.2
104.0,103.09
106.0,108.23
78.0,76.47
37.0,37.07
66.0,68.25
118.0,118.21
117.0,114.69
199.0,197.55
139.0,140.72
52.0,52.62
192.0,187.88
109.0,107.55
102.0,100.24
161.0,160.38
22.0,22.07
120.0,120.24
108.0,110.32
14.0,12.81
92.0,98.39
28.0,26.36
58.0,57.47
182.0,183.58
111.0,109.73
37.0,36.62
20.0,19.79
29.0,26.97
41.0,41.05
90.0,88.48
175.0,173.71
137.0,137.82
168.0,175.58
62.0,64.66
104.0,95.06
11.0,8.7
50.0,49.15
27.0,26.79
24.0,21.81
44.0,45.23
122.0,125.32
108.0,105.52
210.0,205.27
104.0,100.13
47.0,52.33
146.0,148.49
173.0,168.75
48.0,52.08
170.0,191.06
57.0,58.71
94.0,93.3
117.0,115.1
55.0,55.76
147.0,148.6
23.0,21.91
190.0,188.83
17.0,16.86
105.0,104.49
147.0,148.44
19.0,17.76
30.0,28.9
117.0,114.78
90.0,89.86
7.0,7.07
6.0,5.68
113.0,109.54
118.0,118.4
120.0,117.76
38.0,37.41
80.0,77.61
93.0,96.5
151.0,151.37
12.0,11.81
228.0,222.1
124.0,120.01
17.0,16.66
95.0,95.6
86.0,92.72
50.0,48.95
114.0,114.0
40.0,38.83
157.0,157.2
96.0,96.36
30.0,29.57
53.0,51.59
84.0,83.22
51.0,53.82
88.0,88.09
11.0,10.72
58.0,61.98
84.0,84.6
163.0,165.75
95.0,101.87
186.0,186.51
49.0,48.42
15.0,16.94
156.0,153.92
131.0,128.59
167.0,168.35
14.0,16.1
93.0,94.05
47.0,45.36
93.0,94.02
145.0,157.96
70.0,68.78
210.0,209.57
76.0,73.74
32.0,36.86
22.0,22.79
66.0,64.24
86.0,85.19
150.0,150.75
191.0,182.26
41.0,37.88
85.0,75.08
47.0,48.01
48.0,53.63
135.0,143.32
23.0,21.55
28.0,26.79
139.0,135.34
84.0,85.03
179.0,173.15
200.0,197.64
67.0,67.09
83.0,81.26
20.0,19.45
101.0,97.29
108.0,107.81
63.0,62.17
31.0,32.01
107.0,101.94
93.0,96.73
32.0,32.57
75.0,76.29
59.0,58.04
71.0,69.93
115.0,114.34
159.0,158.4
2.0,1.95
163.0,163.29
8.0,8.13
51.0,48.94
130.0,128.22
51.0,46.36
246.0,240.7
117.0,117.57
145.0,145.29
181.0,176.79
238.0,224.75
15.0,15.2
17.0,16.34
46.0,50.78
20.0,19.42
99.0,97.96
192.0,191.58
135.0,149.72
11.0,13.9
63.0,63.15
211.0,205.88
99.0,98.78
78.0,74.9
184.0,180.41
50.0,49.39
240.0,233.9
93.0,89.78
47.0,46.32
76.0,77.56
55.0,54.17
69.0,67.8
34.0,33.94
43.0,41.83
107.0,106.78
86.0,78.84
18.0,18.23
21.0,20.93
130.0,134.46
52.0,52.16
45.0,44.32
59.0,59.21
183.0,182.68
21.0,20.61
33.0,30.8
54.0,52.06
131.0,128.26
164.0,163.21
9.0,9.05
36.0,37.9
86.0,92.82
193.0,193.61
154.0,153.34
92.0,88.35
2.0,2.15
156.0,157.79
30.0,29.92
209.0,203.49
57.0,55.26
70.0,70.86
4.0,3.92
105.0,107.95
59.0,59.14
6.0,5.48
39.0,36.28
125.0,124.39
155.0,160.57
62.0,63.22
47.0,46.99
167.0,171.66
184.0,183.07
17.0,17.46
98.0,99.46
96.0,94.59
32.0,31.38
109.0,105.34
55.0,54.42
220.0,223.04
120.0,117.2
57.0,52.75
67.0,55.11
133.0,144.01
16.0,13.94
8.0,8.53
66.0,67.2
44.0,44.38
190.0,188.44
45.0,49.08
38.0,36.59
162.0,160.28
148.0,142.83
71.0,69.75
108.0,108.47
5.0,9.02
99.0,97.73
23.0,22.96
264.0,253.38
42.0,40.88
114.0,116.53
39.0,36.29
60.0,58.96
23.0,21.43
38.0,36.65
72.0,69.21
83.0,82.33
78.0,79.95
108.0,107.23
171.0,173.62
195.0,196.24
54.0,51.27
22.0,21.01
137.0,129.47
115.0,113.68
121.0,120.01
16.0,16.47
13.0,12.59
152.0,153.28
73.0,73.11
131.0,124.32
205.0,212.2
184.0,180.32
83.0,84.21
36.0,36.54
104.0,105.4
103.0,113.11
30.0,31.13
85.0,83.93
23.0,23.47
156.0,155.7
125.0,123.08
49.0,44.73
174.0,175.1
167.0,170.73
54.0,68.56
124.0,122.05
89.0,86.45
55.0,57.01
166.0,155.31
97.0,98.07
26.0,29.61
33.0,47.28
6.0,5.49
51.0,52.27
158.0,158.57
124.0,124.46
95.0,96.73
78.0,102.45
96.0,99.32
176.0,168.36
80.0,88.05
85.0,104.38
16.0,15.63
112.0,111.2
19.0,20.66
113.0,113.43
151.0,149.41
14.0,13.89
65.0,64.26
44.0,43.78
181.0,185.04
95.0,92.21
188.0,191.24
38.0,36.19
152.0,157.8
135.0,134.98
128.0,124.84
162.0,162.25
144.0,143.01
130.0,129.27
186.0,186.82
156.0,152.69
123.0,119.31
111.0,108.58
219.0,218.98
39.0,38.1
47.0,45.67
7.0,7.3
48.0,44.21
221.0,235.04
100.0,98.22
140.0,138.04
191.0,192.25
174.0,176.54
131.0,126.5
82.0,75.33
199.0,199.65
23.0,22.67
73.0,74.62
124.0,121.67
7.0,8.07
179.0,180.0
45.0,45.55
45.0,46.29
115.0,115.25
83.0,85.87
68.0,67.85
189.0,189.83
53.0,51.94
72.0,68.52
134.0,132.02
98.0,96.16
31.0,30.1
148.0,147.76
57.0,51.75
119.0,125.48
163.0,161.68
102.0,97.36
25.0,25.19
173.0,165.95
201.0,200.71
69.0,66.97
170.0,166.87
66.0,68.04
25.0,24.7
7.0,12.34
15.0,14.71
123.0,130.41
20.0,22.24
21.0,20.65
27.0,27.72
177.0,175.9
195.0,192.32
39.0,39.49
215.0,225.49
230.0,226.44
1.0,1.8
22.0,26.04
153.0,145.15
21.0,20.22
18.0,21.74
34.0,35.86
16.0,16.16
111.0,108.88
43.0,41.6
63.0,62.65
13.0,13.13
9.0,9.05
34.0,33.58
114.0,118.77
126.0,128.13
132.0,128.33
143.0,133.82
191.0,193.22
132.0,133.51
17.0,17.59
1.0,1.91
78.0,76.16
53.0,52.84
25.0,24.25
39.0,38.32
26.0,25.66
82.0,87.45
77.0,74.59
26.0,25.56
37.0,36.81
49.0,46.72
28.0,28.27
26.0,26.61
126.0,127.1
198.0,201.56
43.0,48.76
115.0,126.26
15.0,15.09
13.0,13.21
177.0,183.28
15.0,14.43
46.0,46.75
103.0,108.04
16.0,15.27
140.0,140.21
133.0,135.32
130.0,129.14
155.0,155.29
79.0,77.5
113.0,112.29
215.0,217.31
210.0,202.3
109.0,109.81
145.0,141.47
16.0,10.88
213.0,205.81
87.0,92.19
139.0,144.18
7.0,7.09
21.0,20.56
240.0,224.92
11.0,11.26
162.0,160.07
36.0,38.41
111.0,109.43
66.0,67.66
158.0,172.68
12.0,13.01
179.0,180.84
62.0,64.58
140.0,143.23
42.0,38.54
161.0,160.2
169.0,168.31
162.0,156.69
49.0,46.94
81.0,79.84
111.0,126.99
108.0,103.04
95.0,91.54
164.0,163.34
100.0,97.08
14.0,13.83
55.0,56.22
34.0,33.49
56.0,53.31
63.0,62.06
132.0,132.22
12.0,12.79
192.0,188.5
83.0,82.96
174.0,177.24
106.0,97.58
56.0,55.61
10.0,11.79
182.0,171.35
127.0,126.29
102.0,99.85
9.0,9.12
5.0,8.93
57.0,56.74
23.0,22.56
12.0,9.99
79.0,82.57
115.0,110.56
111.0,104.39
144.0,142.09
3.0,3.14
60.0,59.76
27.0,27.53
129.0,136.77
148.0,143.34
9.0,9.38
14.0,13.95
137.0,138.87
77.0,81.0
134.0,131.96
84.0,89.02
49.0,47.15
177.0,176.36
195.0,192.31
56.0,55.73
8.0,7.64
176.0,180.07
14.0,14.56
50.0,50.08
176.0,175.02
23.0,22.3
29.0,28.18
46.0,44.18
87.0,89.98
143.0,148.7
63.0,63.16
14.0,19.44
125.0,122.24
4.0,3.93
141.0,143.76
16.0,17.74
43.0,44.82
216.0,213.55
